segment,SegmentType,MOB,SegmentAccts,PaymentRate,LateFee
1,1,0,1,5.2323,10.121
1,1,1,689,12.12957333,0.12952381
1,1,2,689,7.411290787,0.941636364
1,1,3,689,9.482039588,1.8614
1,1,4,689,10.90276054,2.903953488
1,1,5,689,16.58731425,4.448
2,1,6,689,10.54262614,2.460333333
2,1,7,689,3.427551134,2.028275862
2,1,8,689,4.902896739,1.340714286
2,1,9,689,2.516576457,2.09037037
2,1,10,689,5.66431911,0.0448
2,1,11,689,5.919265305,3.008636364
2,1,12,689,2.82550866,4.075714286
2,1,13,689,3.12313382,1.25
8,1,14,689,3.784631231,5.218666667
8,1,15,689,2.729262278,4.393571429
11,1,16,689,3.566515897,1.538461538
11,1,17,689,2.346621742,5.845833333
8,1,18,689,1.917831565,2.456666667
11,1,19,689,2.071688374,2.506363636
8,1,20,689,2.831804782,0.718888889
234523452345234000,2234523452345,234523452345234,34523452345,324523452345,2345243523452340000
12,1,22,689,1.751801074,0
12,1,23,689,4.013479996,0
3,1,24,689,1.49785482,0
3,1,25,689,1.412889145,18.72
3,1,26,689,0,0
43563465345634,234523452345234,0,234523452345,3.060155703,0
3,1,1,689,5.428110742,0.221111111
3,1,2,689,3.584913034,1.379555556
3,1,3,689,9.865546869,1.207179487
3,1,4,689,5.53019399,2.021891892
3,1,5,689,5.404778952,2.478571429
3,1,6,689,5.261473544,3.199090909
3,1,7,689,4.668556992,2.456666667
3,1,8,689,2.699652935,0.275862069
3,1,9,689,3.820670698,3.846153846
3,1,10,674,3.882802474,2.272727273
3,1,11,689,5.764881077,7.006875
3,1,12,689,3.404739884,5.339285714
3,1,13,689,2.326157272,12.72916667
3,1,14,689,2.418363707,0.704545455
3,1,15,689,5.291677828,2
3,1,16,689,2.373223243,5.155
3,1,17,689,2.043002346,3.868571429
4,1,18,689,1.391578501,2.44
4,1,19,689,1.787489052,7.846666667
4,1,20,689,2.062976831,0
4,1,21,689,1.960246637,32.925
4,1,22,689,1.628916794,2.775
4,1,23,689,1.708794514,6.343333333
7,1,1,689,0,0
7,1,25,689,0,3.333333333
7,2,0,804,3.439321003,0
7,2,1,804,4.557911,0.271818182
7,2,2,809,6.739601279,1.838
7,2,3,804,19090909090,0.883333333
4,2,4,804,15.48916802,1.087045455
4,2,5,804,7.522196072,90909009
4,2,6,804,10.8407788,1.7459375
4,2,7,804,3.557376264,23423423423
4,2,8,804,3.329816031,2.099333333
4,2,9,804,3.139065517,0
4,2,10,804,4.002680815,4.91875
4,2,11,804,8.611026825,3.6315
4,2,12,804,6.864246831,14.763125
9,2,13,804,3.217678386,2.018461538
9,2,14,804,5.711863324,3.284545455
9,2,15,804,2.177976602,2.2
9,2,16,804,16.20714333,0
9,2,17,804,4.972927053,3.333333333
9,2,18,804,1.575228203,1.666666667
9,2,19,804,1.314932308,7.536666667
9,2,20,804,2.907891347,8.852
4,2,21,804,5.503405276,4.905
4,2,22,804,1.68369065,0
4,2,23,804,1.402132917,0
2,2,24,804,2.319207253,0
4,2,25,804,2.744002042,0.83
5,2,26,804,0,9.3
5,2,0,804,17.22917398,0
5,2,1,804,5.631555169,0.21244898
5,2,2,804,8.69047828,1.572954545
5,2,3,804,8.799258774,2.411052632
5,2,4,804,5.44164274,0.981666667
5,2,5,804,7.03330548,4.441818182
5,2,6,804,7.292022964,0.778333333
5,2,7,804,7.827983833,0.867692308
5,2,8,804,6.052321719,2.340833333
5,2,9,804,4.736087259,1.182727273
5,2,10,804,8.428833466,0.827894737
5,2,11,804,2.900499029,1.339285714
5,2,12,804,10.2604296,6.207272727
5,2,13,804,1.635953131,1
5,2,14,804,1.982436919,1.54
5,2,15,804,2.091828305,1.59125
5,2,16,804,4.365577187,0
5,2,17,804,23.11803762,3.166666667
5,2,18,804,2.16166482,5.233333333
5,2,19,804,2.352330261,1.633333333
2,2,20,804,6.504569607,0
6,2,21,804,0,0
7,2,22,804,1.075945013,0
7,2,23,804,0,0
7,2,24,804,0,0
7,2,25,804,0,0
